city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Stockholm,se,952.1863558866239,1037701,59.33000183105469,Sweden,18.06999969482422,3302,0,meetup1
Göteborg,se,738.9342006795378,1037702,57.720001220703125,Sweden,12.010000228881836,603,1,meetup2
Malmö,se,768.4093928468496,1037703,55.61000061035156,Sweden,13.020000457763672,347,2,meetup3
Lund,se,774.8269954510707,1037711,55.709999084472656,Sweden,13.199999809265137,152,3,meetup11
Uppsala,se,943.7091583733418,1037704,59.86000061035156,Sweden,17.639999389648438,123,4,meetup4
Helsingborg,se,755.0333042602731,1037708,56.04999923706055,Sweden,12.699999809265137,88,5,meetup8
Linköping,se,866.2647292154412,1037707,58.40999984741211,Sweden,15.630000114440918,75,6,meetup7
Halmstad,se,761.3571794074369,1037719,56.66999816894531,Sweden,12.859999656677246,60,7,meetup19
Luleå,se,1173.1911332853394,1037722,65.5999984741211,Sweden,22.15999984741211,58,8,meetup22
Örebro,se,862.1642198865827,1037706,59.279998779296875,Sweden,15.220000267028809,57,9,meetup6
Karlstad,se,811.3762709730476,1037718,59.380001068115234,Sweden,13.510000228881836,57,10,meetup18
Västerås,se,907.258520573284,1037705,59.619998931884766,Sweden,16.540000915527344,55,11,meetup5
Umeå,se,1085.3599804059459,1037712,63.83000183105469,Sweden,20.239999771118164,52,12,meetup12
Jönköping,se,812.6959480027593,1037710,57.779998779296875,Sweden,14.170000076293945,49,13,meetup10
Växjö,se,831.7389235304489,1037720,56.880001068115234,Sweden,14.800000190734863,45,14,meetup20
Norrköping,se,885.4704494410829,1037709,58.599998474121094,Sweden,16.170000076293945,41,15,meetup9
Borås,se,770.4582064186911,1037714,57.72999954223633,Sweden,12.9399995803833,40,16,meetup14
Gävle,se,940.2258461218668,1037713,60.689998626708984,Sweden,17.1299991607666,38,17,meetup13
Borlänge,se,888.6487607513546,1037725,60.4900016784668,Sweden,15.4399995803833,38,18,meetup25
Sundsvall,se,981.0724293850474,1037721,62.400001525878906,Sweden,17.329999923706055,36,19,meetup21
Alingsås,se,759.0845978335362,1037748,57.93000030517578,Sweden,12.539999961853027,35,20,meetup48
Eskilstuna,se,903.4252527774108,1037717,59.369998931884766,Sweden,16.510000228881836,29,21,meetup17
Kalmar,se,888.9291842829248,1037727,56.66999816894531,Sweden,16.360000610351562,29,22,meetup27
Skövde,se,807.1017077054137,1037731,58.380001068115234,Sweden,13.84000015258789,29,23,meetup31
Karlskrona,se,862.743462847951,1037732,56.18000030517578,Sweden,15.59000015258789,26,24,meetup32
Uddevalla,se,744.8194267570228,1037734,58.349998474121094,Sweden,11.930000305175781,25,25,meetup34
Östersund,se,942.1520332421528,1037724,63.18000030517578,Sweden,14.649999618530273,24,26,meetup24
Trollhättan,se,755.8482323222917,1037723,58.290000915527344,Sweden,12.300000190734863,22,27,meetup23
Kristianstad,se,809.4348252329255,1037733,56.029998779296875,Sweden,14.149999618530273,22,28,meetup33
Ronneby,se,850.9902454878654,1037799,56.209999084472656,Sweden,15.279999732971191,22,29,meetup99
Åkersberga,se,960.8994813725515,1037741,59.47999954223633,Sweden,18.309999465942383,19,30,meetup41
Kungsbacka,se,739.7666488308229,1037763,57.5099983215332,Sweden,12.100000381469727,18,31,meetup63
Ängelholm,se,761.2215102179296,1037749,56.25,Sweden,12.869999885559082,17,32,meetup49
Södertälje,se,937.2128870806239,1037715,59.20000076293945,Sweden,17.6299991607666,16,33,meetup15
Örnsköldsvik,se,1037.0660619092987,1037739,63.29999923706055,Sweden,18.719999313354492,14,34,meetup39
