city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Teufen,ch,838.2092291131701,1005352,47.38999938964844,Switzerland,9.369999885559082,1,176,meetup277
Rüschlikon,ch,808.7196121246579,1005360,47.310001373291016,Switzerland,8.550000190734863,1,177,meetup285
Riehen,ch,759.275616956352,1005105,47.59000015258789,Switzerland,7.639999866485596,1,178,meetup30
Cologny,ch,771.0327005225964,1005362,46.22999954223633,Switzerland,6.190000057220459,1,179,meetup287
Alpnach,ch,814.6392765298475,1005367,46.95000076293945,Switzerland,8.270000457763672,1,180,meetup292
Reinach,ch,761.111232989529,1005112,47.5,Switzerland,7.579999923706055,1,181,meetup37
Colombier,ch,758.1977826078181,1005369,46.970001220703125,Switzerland,6.849999904632568,1,182,meetup294
Le Mont-sur-Lausanne,ch,770.4076413197236,1005370,46.560001373291016,Switzerland,6.630000114440918,1,183,meetup295
Bellach,ch,771.3522378220969,1005375,47.209999084472656,Switzerland,7.489999771118164,1,184,meetup300
Muttenz,ch,762.5501298741593,1005121,47.52000045776367,Switzerland,7.639999866485596,1,185,meetup46
Laufen,ch,761.7244388137441,1005378,47.41999816894531,Switzerland,7.5,1,186,meetup303
Sumiswald,ch,789.8527516824116,1005379,47.029998779296875,Switzerland,7.739999771118164,1,187,meetup304
Grenchen,ch,767.9131870285619,1005132,47.20000076293945,Switzerland,7.389999866485596,1,188,meetup57
Seon,ch,790.4267228977785,1005391,47.349998474121094,Switzerland,8.140000343322754,1,189,meetup316
Walenstadt,ch,847.8252522183069,1005392,47.130001068115234,Switzerland,9.3100004196167,1,190,meetup317
Fehraltdorf,ch,813.0470766028349,1005393,47.38999938964844,Switzerland,8.75,1,191,meetup318
Lengnau,ch,767.2214922988362,1005399,47.189998626708984,Switzerland,7.360000133514404,1,192,meetup324
Arosa,ch,878.0651435620706,1005402,46.790000915527344,Switzerland,9.65999984741211,1,193,meetup327
Freienbach,ch,821.8521072421761,1005147,47.209999084472656,Switzerland,8.760000228881836,1,194,meetup72
Aire,ch,769.2940660131634,1005404,46.20000076293945,Switzerland,6.099999904632568,1,195,meetup329
Aire-La-Ville,ch,767.6190955680361,1005405,46.189998626708984,Switzerland,6.039999961853027,1,196,meetup330
Binningen,ch,758.4403657339847,1005150,47.540000915527344,Switzerland,7.559999942779541,1,197,meetup75
Anieres,ch,769.5272851487161,1005407,46.279998779296875,Switzerland,6.21999979019165,1,198,meetup332
Arnex-Sur-Nyon,ch,763.211601396953,1005410,46.380001068115234,Switzerland,6.190000057220459,1,199,meetup335
